release_date,date_id,year,month,quarter
1995-03-10,831,1995,3,1
2014-01-26,832,2014,1,1
2009-03-12,833,2009,3,1
2006-03-15,834,2006,3,1
2003-02-06,835,2003,2,1
2006-02-10,836,2006,2,1
2005-06-22,837,2005,6,2
2001-09-28,838,2001,9,3
2013-01-17,839,2013,1,1
2002-05-10,840,2002,5,2
2011-02-18,841,2011,2,1
2005-11-23,842,2005,11,4
2016-01-13,843,2016,1,1
1997-02-14,844,1997,2,1
1997-08-22,845,1997,8,3
2006-04-21,846,2006,4,2
2000-08-07,847,2000,8,3
2012-04-04,848,2012,4,2
1998-07-29,849,1998,7,3
2014-08-06,850,2014,8,3
1994-05-24,851,1994,5,2
1990-06-15,852,1990,6,2
2014-10-08,853,2014,10,4
1997-09-26,854,1997,9,3
2004-09-10,855,2004,9,3
2003-10-03,856,2003,10,4
1994-02-18,857,1994,2,1
2000-02-11,858,2000,2,1
2004-05-27,859,2004,5,2
2009-09-29,860,2009,9,3
1999-09-17,861,1999,9,3
1996-06-28,862,1996,6,2
2010-10-15,863,2010,10,4
2002-04-19,864,2002,4,2
1995-10-06,865,1995,10,4
2007-02-06,866,2007,2,1
1999-10-13,867,1999,10,4
